dataset,threshold,precision,recall,f1,pr_auc,roc_auc,true_negative,false_positive,false_negative,true_positive
TRAIN,0.5,0.07609710550887021,0.9721669980119284,0.14114590850050512,0.21785842481213935,0.9960448694590588,407192,5937,14,489
VALIDATION,0.5,0.16727493917274938,0.9811416921508664,0.2858203414996288,0.29418147252540144,0.8093160335369634,7995,9583,37,1925
