dataset,metric,valid_samples,mae,rmse,r2
validation,RSRP,19296,3.0580000553162736,4.169599282656143,0.7536625505644561
validation,RSRQ,19296,1.2632157294509028,2.1915066825163847,0.18848627830208586
validation,SINR,19296,6.573729536031213,9.462980016614933,0.67704482745029
