dataset,metric,current_feature,future_target,valid_samples,mae,rmse,r2
train,RSRP,serving_rsrp,future_rsrp_raw,413206,0.3033595833555176,1.079406600461525,0.980459419085151
train,RSRQ,serving_rsrq,future_rsrq_raw,413206,0.026197586675895317,0.47977391341252756,0.2338810772665053
train,SINR,serving_sinr,future_sinr_raw,413206,0.21484683184658498,1.8059172074757779,0.7044819030733658
validation,RSRP,serving_rsrp,future_rsrp_raw,19296,2.9796330845771144,4.205496926011621,0.7494026688015136
validation,RSRQ,serving_rsrq,future_rsrq_raw,19296,1.1803482587064678,2.3048411448841573,0.10238052753972726
validation,SINR,serving_sinr,future_sinr_raw,19296,6.453202736318408,9.819576239788638,0.6522461942482638
